,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,LowerBand,Signal,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
32486,2022-12-29,2075.43994140625,2120.0,2120.0,2110.0,2120.0,700,MASA.JK,-0.03196347031963476,2209.0,2164.82,1,-0.0,0.5907264369292543,True,False,0.030650900029348227,2023-01-04,2230.0,Win
32487,2022-12-30,2075.43994140625,2120.0,2120.0,2120.0,2120.0,0,MASA.JK,0.0,2198.5,2154.5299999999997,1,0.0,0.5907264369292543,False,False,,,,None
32488,2023-01-02,2055.860595703125,2100.0,2100.0,2080.0,2080.0,1400,MASA.JK,-0.009433962264150941,2188.0,2144.24,1,-0.009433962264150941,0.5851535460148274,False,False,,,,None
32489,2023-01-03,2124.38916015625,2170.0,2170.0,2170.0,2170.0,100,MASA.JK,0.03333333333333344,2188.5,2144.73,1,0.03333333333333344,0.6046586642153217,False,False,,,,None
32490,2023-01-04,2183.1279296875,2230.0,2230.0,2170.0,2170.0,1700,MASA.JK,0.02764976958525356,2199.0,2155.02,0,0.02764976958525356,0.6213773369586025,False,True,,,,None
32491,2023-01-05,2173.338134765625,2220.0,2300.0,2220.0,2230.0,4400,MASA.JK,-0.004484304932735439,2195.0,2151.1,0,-0.0,0.6213773369586025,False,False,,,,None
32492,2023-01-06,2163.54833984375,2210.0,2450.0,2110.0,2330.0,22900,MASA.JK,-0.0045045045045044585,2195.5,2151.59,0,-0.0,0.6213773369586025,False,False,,,,None
32493,2023-01-09,2065.64990234375,2110.0,2300.0,2110.0,2190.0,800,MASA.JK,-0.04524886877828049,2193.5,2149.63,1,-0.0,0.6213773369586025,True,False,0.03533899546683994,2023-01-11,2230.0,Win
32494,2023-01-10,2046.070556640625,2090.0,2250.0,2090.0,2140.0,5000,MASA.JK,-0.009478672985781977,2191.0,2147.18,1,-0.009478672985781977,0.6154875043807959,False,False,,,,None
32495,2023-01-11,2183.1279296875,2230.0,2230.0,2090.0,2090.0,4900,MASA.JK,0.06698564593301426,2200.5,2156.49,0,0.06698564593301426,0.6567163324254425,False,True,,,,None
32496,2023-01-12,2183.1279296875,2230.0,2230.0,2220.0,2220.0,2000,MASA.JK,0.0,2201.5,2157.47,0,0.0,0.6567163324254425,False,False,,,,None
32497,2023-01-13,2183.1279296875,2230.0,2230.0,2230.0,2230.0,0,MASA.JK,0.0,2200.0,2156.0,0,0.0,0.6567163324254425,False,False,,,,None
32498,2023-01-16,2183.1279296875,2230.0,2230.0,2220.0,2220.0,500,MASA.JK,0.0,2200.0,2156.0,0,0.0,0.6567163324254425,False,False,,,,None
32499,2023-01-17,2232.076904296875,2280.0,2300.0,2280.0,2300.0,1100,MASA.JK,0.022421524663677195,2202.5,2158.45,0,0.0,0.6567163324254425,False,False,,,,None
32500,2023-01-18,2232.076904296875,2280.0,2280.0,2280.0,2280.0,3800,MASA.JK,0.0,2203.5,2159.43,0,0.0,0.6567163324254425,False,False,,,,None
32501,2023-01-19,2232.076904296875,2280.0,2280.0,2270.0,2270.0,200,MASA.JK,0.0,2205.0,2160.9,0,0.0,0.6567163324254425,False,False,,,,None
32502,2023-01-20,2232.076904296875,2280.0,2280.0,2180.0,2280.0,1700,MASA.JK,0.0,2209.0,2164.82,0,0.0,0.6567163324254425,False,False,,,,None
32503,2023-01-24,2251.656494140625,2300.0,2300.0,2300.0,2300.0,8500,MASA.JK,0.00877192982456143,2208.5,2164.33,0,0.0,0.6567163324254425,False,False,,,,None
32504,2023-01-25,2251.656494140625,2300.0,2350.0,2280.0,2350.0,400,MASA.JK,0.0,2210.0,2165.8,0,0.0,0.6567163324254425,False,False,,,,None
32505,2023-01-26,2241.866943359375,2290.0,2300.0,2290.0,2300.0,400,MASA.JK,-0.004347826086956497,2215.0,2170.7,0,-0.0,0.6567163324254425,False,False,,,,None
32506,2023-01-27,2241.866943359375,2290.0,2290.0,2290.0,2290.0,0,MASA.JK,0.0,2223.5,2179.0299999999997,0,0.0,0.6567163324254425,False,False,,,,None
32507,2023-01-30,2085.229736328125,2130.0,2370.0,2130.0,2290.0,10200,MASA.JK,-0.06986899563318782,2224.0,2179.52,1,-0.0,0.6567163324254425,True,False,0.027748577426427112,2023-02-03,2220.0,Win
32508,2023-01-31,2046.070556640625,2090.0,2130.0,1985.0,2130.0,5800,MASA.JK,-0.018779342723004744,2223.5,2179.0299999999997,1,-0.018779342723004744,0.6443836313470304,False,False,,,,None
32509,2023-02-01,2095.01953125,2140.0,2140.0,2050.0,2050.0,200,MASA.JK,0.02392344497607657,2222.0,2177.56,1,0.02392344497607657,0.6597995076950455,False,False,,,,None
32510,2023-02-02,2095.01953125,2140.0,2140.0,2050.0,2050.0,1000,MASA.JK,0.0,2217.5,2173.15,1,0.0,0.6597995076950455,False,False,,,,None
32511,2023-02-03,2173.338134765625,2220.0,2230.0,2220.0,2230.0,3200,MASA.JK,0.03738317757009346,2217.5,2173.15,0,0.03738317757009346,0.6844649098518696,False,True,,,,None
32512,2023-02-06,2192.917724609375,2240.0,2240.0,2220.0,2220.0,500,MASA.JK,0.009009009009008917,2219.0,2174.62,0,0.0,0.6844649098518696,False,False,,,,None
32513,2023-02-07,2251.656494140625,2300.0,2300.0,2240.0,2240.0,2100,MASA.JK,0.02678571428571419,2228.5,2183.93,0,0.0,0.6844649098518696,False,False,,,,None
32514,2023-02-08,2349.554931640625,2400.0,2410.0,2300.0,2310.0,10400,MASA.JK,0.04347826086956519,2244.0,2199.12,0,0.0,0.6844649098518696,False,False,,,,None
32515,2023-02-09,2202.70751953125,2250.0,2550.0,2250.0,2410.0,21000,MASA.JK,-0.0625,2245.0,2200.1,0,-0.0,0.6844649098518696,False,False,,,,None
32516,2023-02-10,2202.70751953125,2250.0,2270.0,2250.0,2270.0,10300,MASA.JK,0.0,2246.0,2201.08,0,0.0,0.6844649098518696,False,False,,,,None
32517,2023-02-13,2378.924072265625,2430.0,2450.0,2300.0,2300.0,3000,MASA.JK,0.08000000000000007,2256.0,2210.88,0,0.0,0.6844649098518696,False,False,,,,None
