,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,MiddleBand,UpperBand,LowerBand,LowerBand_2,Signal,Decision,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
26173,2023-12-18,2185.168701171875,2337.5,2381.25,2300.0,2375.0,16969600,ISAT.JK,-0.015789473684210575,2341.25,2341.25,2425.3864806039564,2257.1135193960436,2215.0452790940653,0,,-0.0,1.2785243037828364,False,False,,,,None
26174,2023-12-19,2196.854248046875,2350.0,2362.5,2325.0,2337.5,10107200,ISAT.JK,0.005347593582887722,2344.375,2344.375,2424.6602644275986,2264.0897355724014,2223.9471033586024,0,,0.0,1.2785243037828364,False,False,,,,None
26175,2023-12-20,2196.854248046875,2350.0,2350.0,2325.0,2350.0,6872400,ISAT.JK,0.0,2348.125,2348.125,2421.473034810247,2274.776965189753,2238.1029477846296,0,,0.0,1.2785243037828364,False,False,,,,None
26176,2023-12-21,2196.854248046875,2350.0,2362.5,2300.0,2350.0,29103200,ISAT.JK,0.0,2349.6875,2349.6875,2421.720364392793,2277.654635607207,2241.638203410811,0,,0.0,1.2785243037828364,False,False,,,,None
26177,2023-12-22,2196.854248046875,2350.0,2362.5,2312.5,2350.0,9843200,ISAT.JK,0.0,2353.4375,2353.4375,2416.32772913817,2290.54727086183,2259.102156292745,0,,0.0,1.2785243037828364,False,False,,,,None
26178,2023-12-27,2191.011474609375,2343.75,2356.25,2318.75,2350.0,15272400,ISAT.JK,-0.0026595744680850686,2355.625,2355.625,2413.535434474726,2297.714565525274,2268.759348287911,0,,-0.0,1.2785243037828364,False,False,,,,None
26179,2023-12-28,2185.168701171875,2337.5,2350.0,2318.75,2343.75,4076400,ISAT.JK,-0.002666666666666706,2358.125,2358.125,2407.3124770112854,2308.9375229887146,2284.343784483072,0,,-0.0,1.2785243037828364,False,False,,,,None
26180,2023-12-29,2191.011474609375,2343.75,2350.0,2312.5,2337.5,6202000,ISAT.JK,0.002673796791443861,2356.25,2356.25,2404.577283347902,2307.922716652098,2283.7590749781475,0,,0.0,1.2785243037828364,False,False,,,,None
26181,2024-01-02,2191.011474609375,2343.75,2356.25,2325.0,2343.75,4097200,ISAT.JK,0.0,2354.375,2354.375,2401.5135136982817,2307.2364863017183,2283.6672294525774,0,,0.0,1.2785243037828364,False,False,,,,None
26182,2024-01-03,2196.854248046875,2350.0,2356.25,2306.25,2337.5,13056000,ISAT.JK,0.002666666666666595,2352.1875,2352.1875,2395.5409661395684,2308.8340338604316,2287.1573007906477,0,,0.0,1.2785243037828364,False,False,,,,None
26183,2024-01-04,2202.69677734375,2356.25,2368.75,2337.5,2350.0,4460400,ISAT.JK,0.0026595744680850686,2353.75,2353.75,2395.187968858968,2312.312031141032,2291.593046711548,0,,0.0,1.2785243037828364,False,False,,,,None
26184,2024-01-05,2167.640625,2318.75,2356.25,2318.75,2356.25,14703200,ISAT.JK,-0.01591511936339518,2352.1875,2352.1875,2396.4792584706224,2307.8957415293776,2285.7498622940666,0,,-0.0,1.2785243037828364,False,False,,,,None
26185,2024-01-08,2179.325927734375,2331.25,2337.5,2312.5,2318.75,10026800,ISAT.JK,0.005390835579514919,2352.5,2352.5,2396.0663438423326,2308.9336561576674,2287.1504842365007,0,,0.0,1.2785243037828364,False,False,,,,None
26186,2024-01-09,2167.640625,2318.75,2356.25,2312.5,2325.0,7074000,ISAT.JK,-0.00536193029490617,2351.25,2351.25,2397.240559672027,2305.259440327973,2282.26416049196,0,,-0.0,1.2785243037828364,False,False,,,,None
26187,2024-01-10,2220.224853515625,2375.0,2400.0,2325.0,2325.0,17016400,ISAT.JK,0.0242587601078168,2352.1875,2352.1875,2399.3565339434335,2305.0184660565665,2281.4339490848497,0,,0.0,1.2785243037828364,False,False,,,,None
26188,2024-01-11,2249.4384765625,2406.25,2425.0,2375.0,2400.0,12761600,ISAT.JK,0.013157894736842035,2355.625,2355.625,2408.0183754349973,2303.2316245650027,2277.034936847504,0,,0.0,1.2785243037828364,False,False,,,,None
26189,2024-01-12,2272.80908203125,2431.25,2468.75,2381.25,2406.25,10814400,ISAT.JK,0.010389610389610393,2356.25,2356.25,2412.0043956256172,2300.4956043743828,2272.6184065615744,0,,0.0,1.2785243037828364,False,False,,,,None
26190,2024-01-15,2307.865478515625,2468.75,2525.0,2431.25,2431.25,18307200,ISAT.JK,0.015424164524421524,2361.25,2361.25,2436.315760643928,2286.184239356072,2248.651359034108,0,,0.0,1.2785243037828364,False,False,,,,None
26191,2024-01-16,2313.7080078125,2475.0,2493.75,2450.0,2468.75,10647600,ISAT.JK,0.0025316455696202667,2365.625,2365.625,2455.8093871421734,2275.4406128578266,2230.34841928674,0,,0.0,1.2785243037828364,False,False,,,,None
26192,2024-01-17,2278.65185546875,2437.5,2512.5,2393.75,2512.5,12008000,ISAT.JK,-0.015151515151515138,2368.75,2368.75,2464.4640752999535,2273.0359247000465,2225.1788870500695,0,,-0.0,1.2785243037828364,False,False,,,,None
26193,2024-01-18,2337.078857421875,2500.0,2525.0,2412.5,2431.25,21241200,ISAT.JK,0.02564102564102555,2376.875,2376.875,2487.7996425091756,2265.9503574908244,2210.488036236237,0,,0.0,1.2785243037828364,False,False,,,,None
26194,2024-01-19,2331.236328125,2493.75,2525.0,2450.0,2500.0,4667600,ISAT.JK,-0.0024999999999999467,2384.0625,2384.0625,2505.760667935866,2262.364332064134,2201.515248096201,0,,-0.0,1.2785243037828364,False,False,,,,None
26195,2024-01-22,2266.966552734375,2425.0,2475.0,2412.5,2475.0,4924400,ISAT.JK,-0.027568922305764465,2387.8125,2387.8125,2509.713222656633,2265.911777343367,2204.96141601505,0,,-0.0,1.2785243037828364,False,False,,,,None
26196,2024-01-23,2302.0224609375,2462.5,2493.75,2425.0,2437.5,16462000,ISAT.JK,0.015463917525773141,2393.4375,2393.4375,2518.337130756687,2268.537869243313,2206.0880538649694,0,,0.0,1.2785243037828364,False,False,,,,None
